disease,source_name,source_url,fetch_status,fetched_at,heading,text
common cold,CDC Common Cold About,https://www.cdc.gov/common-cold/about/index.html,ok,2026-09-19T01:39:17.771091+00:00,Signs and symptoms,Cough
common cold,CDC Common Cold About,https://www.cdc.gov/common-cold/about/index.html,ok,2026-09-19T01:39:17.771091+00:00,Signs and symptoms,Headache
common cold,CDC Common Cold About,https://www.cdc.gov/common-cold/about/index.html,ok,2026-09-19T01:39:17.771091+00:00,Signs and symptoms,Fever (usually low grade in older children and adults)
common cold,CDC Flu Signs and Symptoms,https://www.cdc.gov/flu/signs-symptoms/index.html,ok,2026-09-19T01:39:18.162850+00:00,Symptoms,fever* or feeling feverish/chills
common cold,CDC Flu Signs and Symptoms,https://www.cdc.gov/flu/signs-symptoms/index.html,ok,2026-09-19T01:39:18.162850+00:00,Symptoms,cough
common cold,CDC Flu Signs and Symptoms,https://www.cdc.gov/flu/signs-symptoms/index.html,ok,2026-09-19T01:39:18.162850+00:00,Symptoms,headaches
common cold,CDC Flu Signs and Symptoms,https://www.cdc.gov/flu/signs-symptoms/index.html,ok,2026-09-19T01:39:18.162850+00:00,Symptoms,fatigue (tiredness)
common cold,CDC Flu Signs and Symptoms,https://www.cdc.gov/flu/signs-symptoms/index.html,ok,2026-09-19T01:39:18.162850+00:00,Symptoms,"some people may have vomiting and diarrhea, though this is more common in children than adults."
common cold,CDC Flu Signs and Symptoms,https://www.cdc.gov/flu/signs-symptoms/index.html,ok,2026-09-19T01:39:18.162850+00:00,Symptoms,*It's important to note that not everyone with flu will have a fever.
covid-like illness,CDC COVID Symptoms,https://www.cdc.gov/covid/signs-symptoms/index.html,ok,2026-09-19T01:39:18.525908+00:00,Signs and Symptoms,Fever or chills
covid-like illness,CDC COVID Symptoms,https://www.cdc.gov/covid/signs-symptoms/index.html,ok,2026-09-19T01:39:18.525908+00:00,Signs and Symptoms,Cough
covid-like illness,CDC COVID Symptoms,https://www.cdc.gov/covid/signs-symptoms/index.html,ok,2026-09-19T01:39:18.525908+00:00,Signs and Symptoms,Shortness of breath or difficulty breathing
covid-like illness,CDC COVID Symptoms,https://www.cdc.gov/covid/signs-symptoms/index.html,ok,2026-09-19T01:39:18.525908+00:00,Signs and Symptoms,Fatigue
covid-like illness,CDC COVID Symptoms,https://www.cdc.gov/covid/signs-symptoms/index.html,ok,2026-09-19T01:39:18.525908+00:00,Signs and Symptoms,Headache
covid-like illness,CDC COVID Symptoms,https://www.cdc.gov/covid/signs-symptoms/index.html,ok,2026-09-19T01:39:18.525908+00:00,Signs and Symptoms,Nausea or vomiting
covid-like illness,CDC COVID Symptoms,https://www.cdc.gov/covid/signs-symptoms/index.html,ok,2026-09-19T01:39:18.525908+00:00,Signs and Symptoms,Diarrhea
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Key facts,"COVID-19 is a disease caused by the SARS-CoV-2 coronavirus. There are a range of signs and symptoms, but hte most common symptoms reported for currently-circulating variants are fever, chills, and sore throat."
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Key facts,Most people make a full recovery without needing treatment. People with severe disease or at risk of developing severe disease should seek medical care as soon as possible.
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Key facts,"Over 13.64 billion COVID-19 vaccine doses had been administered by the end of 2024. WHO continues to recommend COVID-19 vaccination using a risk-based approach. WHO recommends a single dose for persons who have not yet received a COVID-19 vaccine. For those at high risk of severe COVID-19, revaccination may be needed 6-12 months after the most recent dose."
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Overview,"Because of increasing immunity from past infections and/or vaccination, most people recover without treatment. About 6% develop post COVID-19 condition (PCC, or long COVID), however, which can cause lasting symptoms such as memory issues, fatigue or breathing difficulties. PCC an affect daily life and requires individualized care."
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Overview,Vaccination remains a key preventive measure against severe disease. COVID-19 vaccines continue to provide strong protection against severe illness and death.
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Overview,fever
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Overview,chills
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Overview,severe fatigue or tiredness
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Overview,headache
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Overview,new and persistent cough
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Overview,tight chest or chest pain
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Overview,"appetite loss, nausea, vomiting, abdominal pain or diarrhoea"
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Overview,"difficulty breathing, especially at rest, or unable to speak in sentences"
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Overview,persistent pain or pressure in the chest
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Overview,"people with high blood pressure, diabetes, obesity, chronic lung, heart, liver and/or kidney disaeses, cancer or dementia;"
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Overview,"The potential consequences of severe COVID-19 include respiratory failure, sepsis, thromboembolism (blood clots), and multiorgan failure, including injury of the heart, liver or kidneys, and death."
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Overview,"Some people who have had COVID-19, whether they needed hospitalization or not, continue to experience symptoms long after the infectious period has ended. These long-term effects are called post COVID-19 condition (PCC, or long COVID). The most common symptoms include fatigue, aches and pains in muscles or joints, breathlessness, headaches, and difficulty in thinking or concentrating. Post COVID-19 condition can affect a person’s ability to perform daily activities such as work or household tasks."
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Treatment,"Medical treatment exists for COVID-19, although most people recover from mild illness without needing treatment. For those who need treatment, health-care professionals suggest treatments for COVID-19 based on the severity of the disease and the risk of it getting worse. They consider the person’s age, symptoms, any coexisting health conditions, and individual factors which might interfere with specific treatments."
covid-like illness,WHO COVID-19 Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/coronavirus-disease-(covid-19),ok,2026-09-19T01:39:18.868952+00:00,Prevention,"cover your mouth and nose with a bent elbow or tissue when you cough or sneeze, and dispose of used tissues right away and clean your hands;"
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Key facts,"Prevention and control of dengue rely on vector control. There is no specific treatment for dengue/severe dengue, and early detection and access to proper medical care greatly lower fatality rates of severe dengue."
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Overview,Dengue (break-bone fever) is a viral infection that is spread from mosquitoes to people. It is more common in tropical and subtropical than in temperate climates.
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Overview,"Most people who get dengue do not have symptoms. For those who do, the most common symptoms are high fever, headache, body aches, nausea and rash. Most get better in 1–2 weeks. Some develop severe dengue and need care in a hospital."
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Overview,Dengue is treated through pain management as there is no specific treatment currently.
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Symptoms,high fever (40°C/104°F)
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Symptoms,severe headache
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Symptoms,pain behind the eyes
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Symptoms,muscle and joint pains
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Symptoms,nausea
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Symptoms,vomiting
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Symptoms,rash.
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Symptoms,Individuals who are infected for the second time are at greater risk of severe dengue. The symptoms of severe dengue often come after the fever has gone away and may include:
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Symptoms,severe abdominal pain
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Symptoms,persistent vomiting
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Symptoms,rapid breathing
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Symptoms,fatigue
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Symptoms,blood in vomit or stool
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Symptoms,"After recovery, people who have had dengue may experience fatigue for several weeks."
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Diagnostics and treatment,"Laboratory-based and point of care diagnostics are critical to control and manage dengue, yet global disparities in laboratory capabilities present significant challenges. The diagnostic algorithms, testing strategies and test methodologies employed vary, depending on the capabilities of national laboratory systems. The wide range of available tests – including nucleic acid amplification tests (NAATs), enzyme-linked immunosorbent assays (ELISAs) and rapid diagnostic tests (RDTs) – vary significantly in quality and performance."
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Diagnostics and treatment,"Laboratory testing for arboviruses can be accomplished through either direct detection methods such as virus isolation, molecular detection of nucleic acid or antigen testing, including rapid diagnostic tests (RDTs) within the first week of illness."
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Diagnostics and treatment,"There is no specific treatment for dengue, although pain can be managed with medication such as paracetamol (acetaminophen). Non-steroidal anti-inflammatory medicines such as ibuprofen and aspirin should be avoided as they can increase the risk of bleeding."
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Diagnostics and treatment,"Dengue is spreading to new areas, including the European and Eastern Mediterranean regions. In 2024, 308 cases were reported to WHO from three European countries (France, Italy and Spain) and an additional 1291 cases and four deaths were recorded in the French overseas territories of Mayotte and Réunion."
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Prevention and control,use acetaminophen (paracetamol) for pain;
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Prevention and control,"Currently, one vaccine (QDenga) is available and licensed in some countries. However, it is recommended only for those aged 6–16 years in high transmission settings. Several additional vaccines are under evaluation."
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Prevention and control,"providing training on clinical management, diagnosis and vector control at the country and regional levels in collaboration with its collaborating centres;"
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Prevention and control,"publishing guidance and handbooks for surveillance, case management, diagnosis, dengue prevention and control for Member States."
dengue,WHO Dengue Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/dengue-and-severe-dengue,ok,2026-09-19T01:39:19.252754+00:00,Prevention and control,"Lim A, Shearer FM, Sewalk K, Pigott DM, Clarke J, Ghouse A, et al. The overlapping global distribution of dengue, chikungunya, Zika and yellow fever. Nat Commun. 2025;16(1):3418. doi: 10.1038/s41467-025-58609-5."
flu,CDC Flu Signs and Symptoms,https://www.cdc.gov/flu/signs-symptoms/index.html,ok,2026-09-19T01:39:19.260768+00:00,Symptoms,fever* or feeling feverish/chills
flu,CDC Flu Signs and Symptoms,https://www.cdc.gov/flu/signs-symptoms/index.html,ok,2026-09-19T01:39:19.260768+00:00,Symptoms,cough
flu,CDC Flu Signs and Symptoms,https://www.cdc.gov/flu/signs-symptoms/index.html,ok,2026-09-19T01:39:19.260768+00:00,Symptoms,headaches
flu,CDC Flu Signs and Symptoms,https://www.cdc.gov/flu/signs-symptoms/index.html,ok,2026-09-19T01:39:19.260768+00:00,Symptoms,fatigue (tiredness)
flu,CDC Flu Signs and Symptoms,https://www.cdc.gov/flu/signs-symptoms/index.html,ok,2026-09-19T01:39:19.260768+00:00,Symptoms,"some people may have vomiting and diarrhea, though this is more common in children than adults."
flu,CDC Flu Signs and Symptoms,https://www.cdc.gov/flu/signs-symptoms/index.html,ok,2026-09-19T01:39:19.260768+00:00,Symptoms,*It's important to note that not everyone with flu will have a fever.
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Overview,Seasonal influenza (the flu) is an acute respiratory infection caused by influenza viruses. It is common in all parts of the world. Most people recover without treatment.
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Overview,Influenza spreads easily between people when they cough or sneeze. Vaccination is the best way to prevent the disease.
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Overview,"Symptoms of influenza include acute onset of fever, cough, sore throat, body aches and fatigue."
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Overview,Treatment should aim to relieve symptoms. People with the flu should rest and drink plenty of liquids. Most people will recover on their own within a week. Medical care may be needed in severe cases and for people with risk factors.
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Signs and symptoms,sudden onset of fever
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Signs and symptoms,cough (usually dry)
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Signs and symptoms,headache
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Signs and symptoms,muscle and joint pain
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Signs and symptoms,The cough can be severe and can last 2 weeks or more.
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Signs and symptoms,"Most people recover from fever and other symptoms within a week without requiring medical attention. However, influenza can cause severe illness or death, especially in people at high risk."
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Diagnosis,"Collection of appropriate respiratory samples and the application of a laboratory diagnostic test is required to establish a definitive diagnosis. Proper collection, storage and transport of respiratory specimens is the essential first step for laboratory detection of influenza virus infections. Laboratory confirmation is commonly performed using direct antigen detection, virus isolation, or detection of influenza-specific RNA by reverse transcriptase-polymerase chain reaction (RT-PCR). Various guidance on the laboratory techniques is published and updated by WHO ."
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Treatment,treat other symptoms such as fever
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Prevention,Safe and effective vaccines have been used for more than 60 years. Immunity from vaccination goes away over time so annual vaccination is recommended to protect against influenza.
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Prevention,"The vaccine may be less effective in older people, but it will make the illness less severe and reduces the chance of complications and death."
flu,WHO Influenza (Seasonal) Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/influenza-(seasonal),ok,2026-09-19T01:39:19.639984+00:00,Prevention,cover your mouth and nose when coughing or sneezing
gastroenteritis,CDC Norovirus About,https://www.cdc.gov/norovirus/about/index.html,ok,2026-09-19T01:39:20.015961+00:00,Signs and symptoms,"Most common symptoms: Diarrhea, vomiting, nausea, stomach pain"
gastroenteritis,CDC Norovirus About,https://www.cdc.gov/norovirus/about/index.html,ok,2026-09-19T01:39:20.015961+00:00,Signs and symptoms,"Other symptoms: Fever, headache, and body aches"
gastroenteritis,CDC Norovirus About,https://www.cdc.gov/norovirus/about/index.html,ok,2026-09-19T01:39:20.015961+00:00,Treatment and recovery,"Most people with norovirus illness get better within 1 to 3 days. There is no specific medicine to treat people with norovirus illness. Antibiotic drugs will not help treat norovirus infections because they fight bacteria, not viruses."
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Key facts,Diarrhoeal disease is the third leading cause of death in children 1–59 months of age. It is both preventable and treatable.
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Key facts,Each year diarrhoea kills around 443 832 children under 5 and an additional 50 851 children aged 5 to 9 years.
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Key facts,A significant proportion of diarrhoeal disease can be prevented through safe drinking-water and adequate sanitation and hygiene.
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Key facts,"Globally, there are nearly 1.7 billion cases of childhood diarrhoeal disease every year."
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Key facts,Diarrhoea is a leading cause of malnutrition in children under 5 years old.
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Overview,"Diarrhoeal disease is the third leading cause of death in children under 5 years old and is responsible for killing around 443 832 children every year. Diarrhoea can last several days and can leave the body without the water and salts that are necessary for survival. In the past, for most people, severe dehydration and fluid loss were the main causes of diarrhoea-associated deaths. Now, other causes such as septic bacterial infections are likely to account for an increasing proportion of all diarrhoea-associated deaths. Children who are malnourished or have impaired immunity, as well as people living with HIV, are most at risk of life-threatening diarrhoea."
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Overview,"Diarrhoea is defined as the passage of 3 or more loose or liquid stools per day (or more frequent passage than is normal for the individual). Frequent passing of formed stools is not diarrhoea, nor is the passing of loose, pasty stools by breastfed babies."
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Overview,"Diarrhoea is usually a symptom of an infection in the intestinal tract, which can be caused by a variety of bacterial, viral and parasitic organisms. Infection is spread through contaminated food or drinking-water, or from person-to-person as a result of poor hygiene."
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Overview,"Interventions to prevent diarrhoea, including safe drinking-water, use of improved sanitation and hand washing with soap, can reduce disease risk. Diarrhoea should be treated with oral rehydration solution (ORS), a solution of clean water, sugar and salt. In addition, a 10–14 day supplemental treatment course of dispersible zinc tablets shortens diarrhoea duration and improves outcomes."
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Overview,There are 3 clinical types of diarrhoea:
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Overview,acute watery diarrhoea – lasts several hours or days and includes cholera
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Overview,acute bloody diarrhoea – also called dysentery
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Overview,persistent diarrhoea – lasts 14 days or longer.
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Prevention and treatment,Key measures to prevent diarrhoea include:
gastroenteritis,WHO Diarrhoeal Disease Fact Sheet,https://www.who.int/news-room/fact-sheets/detail/diarrhoeal-disease,ok,2026-09-19T01:39:20.408685+00:00,Prevention and treatment,Key measures to treat diarrhoea include the following.
