row_id,text,disease,provenance,derived_from,group_id,symptom_terms,source_name,source_url,source_section,source_quote,source_fetched_at,source_note
cholera-para-011,"my symptoms are throwing up, a racing heartbeat and feeling dehydrated",cholera,paraphrase,cholera-comb-010,cholera-comb-010,dehydration|fast heart rate|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-010. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-012,"i have been having diarrhea, a racing heartbeat, dehydration, being sick and low blood pressure for about a week",cholera,paraphrase,cholera-comb-011,cholera-comb-011,dehydration|diarrhea|fast heart rate|low blood pressure|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-011. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-013,"i am experiencing a dry mouth, loose stools, vomiting, dehydration and a fast heart rate",cholera,paraphrase,cholera-comb-012,cholera-comb-012,dehydration|diarrhea|dry mouth|fast heart rate|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-012. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-014,"i started with a dry mouth, throwing up and dehydration for several days now",cholera,paraphrase,cholera-comb-013,cholera-comb-013,dehydration|dry mouth|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-013. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-015,"i have diarrhea, feeling dehydrated and a fast heart rate",cholera,paraphrase,cholera-comb-014,cholera-comb-014,dehydration|diarrhea|fast heart rate,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-014. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-016,"i have been having low blood pressure, a dry mouth, feeling dehydrated, throwing up and a racing heartbeat for about a week",cholera,paraphrase,cholera-comb-015,cholera-comb-015,dehydration|dry mouth|fast heart rate|low blood pressure|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-015. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-017,"came in complaining of loose stools, leg cramps and throwing up",cholera,paraphrase,cholera-comb-016,cholera-comb-016,diarrhea|muscle cramps|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Early symptoms,"People with cholera often will have mild symptoms, or no symptoms at all, and get better on their own. About 1 in 10 people will develop severe symptoms that can be life-threatening. Early symptoms of cholera include: Watery diarrhea, sometimes described as ""rice-water stools"" because they are milky white Vomiting Leg cramps Restlessness or irritability Symptoms usually appear 2-3 days after someone drinks or eats something containing cholera bacteria. Symptoms can show up within a few hours or up to 5 days. During a cholera outbreak, people with acute watery diarrhea (3 or more loose stools a day) should seek care.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-016. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-018,"i have been having diarrhea, being sick, feeling irritable and leg cramps for several days now",cholera,paraphrase,cholera-src-001,cholera-src-001,diarrhea|irritability|muscle cramps|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Early symptoms,"People with cholera often will have mild symptoms, or no symptoms at all, and get better on their own. About 1 in 10 people will develop severe symptoms that can be life-threatening. Early symptoms of cholera include: Watery diarrhea, sometimes described as ""rice-water stools"" because they are milky white Vomiting Leg cramps Restlessness or irritability Symptoms usually appear 2-3 days after someone drinks or eats something containing cholera bacteria. Symptoms can show up within a few hours or up to 5 days. During a cholera outbreak, people with acute watery diarrhea (3 or more loose stools a day) should seek care.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-src-001. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-019,"i have a dry mouth, low blood pressure, diarrhea, throwing up, dehydration and a racing heartbeat",cholera,paraphrase,cholera-src-002,cholera-src-002,dehydration|diarrhea|dry mouth|fast heart rate|low blood pressure|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-src-002. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-020,"i started with dehydration, low blood pressure, a fast heart rate and a dry mouth for three days",cholera,paraphrase,cholera-comb-001,cholera-comb-001,dehydration|dry mouth|fast heart rate|low blood pressure,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-001. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-021,"my symptoms are low blood pressure, being sick and a racing heartbeat",cholera,paraphrase,cholera-comb-002,cholera-comb-002,fast heart rate|low blood pressure|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-002. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-022,"i have leg cramps, vomiting and irritability",cholera,paraphrase,cholera-comb-003,cholera-comb-003,irritability|muscle cramps|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Early symptoms,"People with cholera often will have mild symptoms, or no symptoms at all, and get better on their own. About 1 in 10 people will develop severe symptoms that can be life-threatening. Early symptoms of cholera include: Watery diarrhea, sometimes described as ""rice-water stools"" because they are milky white Vomiting Leg cramps Restlessness or irritability Symptoms usually appear 2-3 days after someone drinks or eats something containing cholera bacteria. Symptoms can show up within a few hours or up to 5 days. During a cholera outbreak, people with acute watery diarrhea (3 or more loose stools a day) should seek care.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-003. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-023,"i started with feeling dehydrated, a dry mouth, loose stools and low blood pressure for the past two days",cholera,paraphrase,cholera-comb-004,cholera-comb-004,dehydration|diarrhea|dry mouth|low blood pressure,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-004. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-024,"patient reports a racing heartbeat, loose stools and throwing up",cholera,paraphrase,cholera-comb-005,cholera-comb-005,diarrhea|fast heart rate|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-005. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-025,"throwing up, irritability and loose stools for the last few days",cholera,paraphrase,cholera-comb-006,cholera-comb-006,diarrhea|irritability|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Early symptoms,"People with cholera often will have mild symptoms, or no symptoms at all, and get better on their own. About 1 in 10 people will develop severe symptoms that can be life-threatening. Early symptoms of cholera include: Watery diarrhea, sometimes described as ""rice-water stools"" because they are milky white Vomiting Leg cramps Restlessness or irritability Symptoms usually appear 2-3 days after someone drinks or eats something containing cholera bacteria. Symptoms can show up within a few hours or up to 5 days. During a cholera outbreak, people with acute watery diarrhea (3 or more loose stools a day) should seek care.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-006. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-para-026,"i have had low blood pressure, a dry mouth, throwing up, feeling dehydrated and loose stools for several days now",cholera,paraphrase,cholera-comb-007,cholera-comb-007,dehydration|diarrhea|dry mouth|low blood pressure|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Wording variant of cholera-comb-007. Same symptom set, patient-voice phrasing and synonyms only; no clinical content added."
cholera-src-001,vomiting leg cramps restlessness or irritability acute watery diarrhea,cholera,source,,cholera-src-001,diarrhea|irritability|muscle cramps|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Early symptoms,"People with cholera often will have mild symptoms, or no symptoms at all, and get better on their own. About 1 in 10 people will develop severe symptoms that can be life-threatening. Early symptoms of cholera include: Watery diarrhea, sometimes described as ""rice-water stools"" because they are milky white Vomiting Leg cramps Restlessness or irritability Symptoms usually appear 2-3 days after someone drinks or eats something containing cholera bacteria. Symptoms can show up within a few hours or up to 5 days. During a cholera outbreak, people with acute watery diarrhea (3 or more loose stools a day) should seek care.",2026-09-19T01:48:23.123096+00:00,"Full symptom set attested by the 'Early symptoms' section of CDC Cholera Signs and Symptoms, in the order the passage lists them."
cholera-src-002,diarrhea vomiting severe dehydration rapid heart rate dry mucous membranes low blood pressure,cholera,source,,cholera-src-002,dehydration|diarrhea|dry mouth|fast heart rate|low blood pressure|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,"Full symptom set attested by the 'Later symptoms' section of CDC Cholera Signs and Symptoms, in the order the passage lists them."
cholera-comb-001,severe dehydration rapid heart rate dry mucous membranes low blood pressure,cholera,source_combination,,cholera-comb-001,dehydration|dry mouth|fast heart rate|low blood pressure,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,Subset of the symptoms attested by the 'Later symptoms' section of CDC Cholera Signs and Symptoms. Every term appears in source_quote; the co-occurrence shown here is synthetic.
cholera-comb-002,vomiting rapid heart rate low blood pressure,cholera,source_combination,,cholera-comb-002,fast heart rate|low blood pressure|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,Subset of the symptoms attested by the 'Later symptoms' section of CDC Cholera Signs and Symptoms. Every term appears in source_quote; the co-occurrence shown here is synthetic.
cholera-comb-003,vomiting leg cramps restlessness or irritability,cholera,source_combination,,cholera-comb-003,irritability|muscle cramps|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Early symptoms,"People with cholera often will have mild symptoms, or no symptoms at all, and get better on their own. About 1 in 10 people will develop severe symptoms that can be life-threatening. Early symptoms of cholera include: Watery diarrhea, sometimes described as ""rice-water stools"" because they are milky white Vomiting Leg cramps Restlessness or irritability Symptoms usually appear 2-3 days after someone drinks or eats something containing cholera bacteria. Symptoms can show up within a few hours or up to 5 days. During a cholera outbreak, people with acute watery diarrhea (3 or more loose stools a day) should seek care.",2026-09-19T01:48:23.123096+00:00,Subset of the symptoms attested by the 'Early symptoms' section of CDC Cholera Signs and Symptoms. Every term appears in source_quote; the co-occurrence shown here is synthetic.
cholera-comb-004,diarrhea severe dehydration dry mucous membranes low blood pressure,cholera,source_combination,,cholera-comb-004,dehydration|diarrhea|dry mouth|low blood pressure,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,Subset of the symptoms attested by the 'Later symptoms' section of CDC Cholera Signs and Symptoms. Every term appears in source_quote; the co-occurrence shown here is synthetic.
cholera-comb-005,diarrhea vomiting rapid heart rate,cholera,source_combination,,cholera-comb-005,diarrhea|fast heart rate|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,Subset of the symptoms attested by the 'Later symptoms' section of CDC Cholera Signs and Symptoms. Every term appears in source_quote; the co-occurrence shown here is synthetic.
cholera-comb-006,vomiting restlessness or irritability acute watery diarrhea,cholera,source_combination,,cholera-comb-006,diarrhea|irritability|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Early symptoms,"People with cholera often will have mild symptoms, or no symptoms at all, and get better on their own. About 1 in 10 people will develop severe symptoms that can be life-threatening. Early symptoms of cholera include: Watery diarrhea, sometimes described as ""rice-water stools"" because they are milky white Vomiting Leg cramps Restlessness or irritability Symptoms usually appear 2-3 days after someone drinks or eats something containing cholera bacteria. Symptoms can show up within a few hours or up to 5 days. During a cholera outbreak, people with acute watery diarrhea (3 or more loose stools a day) should seek care.",2026-09-19T01:48:23.123096+00:00,Subset of the symptoms attested by the 'Early symptoms' section of CDC Cholera Signs and Symptoms. Every term appears in source_quote; the co-occurrence shown here is synthetic.
cholera-comb-007,diarrhea vomiting severe dehydration dry mucous membranes low blood pressure,cholera,source_combination,,cholera-comb-007,dehydration|diarrhea|dry mouth|low blood pressure|vomiting,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,Subset of the symptoms attested by the 'Later symptoms' section of CDC Cholera Signs and Symptoms. Every term appears in source_quote; the co-occurrence shown here is synthetic.
cholera-comb-008,diarrhea rapid heart rate dry mucous membranes low blood pressure,cholera,source_combination,,cholera-comb-008,diarrhea|dry mouth|fast heart rate|low blood pressure,CDC Cholera Signs and Symptoms,https://www.cdc.gov/cholera/signs-symptoms/index.html,Later symptoms,"Losing body fluids quickly from diarrhea and vomiting can cause dehydration. Patients with severe cholera may have lost more than 10% of body weight by the time they seek medical care. If untreated, severe dehydration can lead to kidney failure, shock, coma, and death. Symptoms of dehydration include: Rapid heart rate Loss of elasticity in the skin Dry mucous membranes Low blood pressure With early and proper treatment, even people with severe cholera can survive.",2026-09-19T01:48:23.123096+00:00,Subset of the symptoms attested by the 'Later symptoms' section of CDC Cholera Signs and Symptoms. Every term appears in source_quote; the co-occurrence shown here is synthetic.
